Ubicación,Superficie (km²),Profundidad máxima (m),Profundidad media (m),Coordenadas,Nombre
Santa Cruz,1435,500.0,150.0,"('50.248056° S', '72.645278° O')",Lago Argentino
Santa Cruz,1166,,,"('49.624167° S', '72.495° O')",Lago Viedma
Río Negro / Neuquén,540,464.0,157.0,"('40.854444° S', '71.616111° O')",Lago Nahuel Huapi
Chubut,427,39.0,20.0,"('45.414722° S', '69.197778° O')",Lago Musters
Santa Cruz,358,,49.0,"('48.9175° S', '71.214722° O')",Lago Cardiel
Buenos Aires,156,11.0,7.0,"('37.129167° S', '62.864722° O')",Lago Epecuén
Río Negro,116,,,"('38.706944° S', '67.973056° O')",Lago Pellegrini
Santa Cruz,100,,,"('48.432778° S', '71.190278° O')",Lago Strobel
Chubut,84,,79.0,"('44.921389° S', '71.495833° O')",Lago Fontana
Neuquén,84,,142.0,"('39.774444° S', '71.508889° O')",Lago Huechulafquen
Neuquén,78,,,"('40.630556° S', '71.415278° O')",Lago Traful
Chubut,73,,,"('44.859167° S', '71.82° O')",Lago La Plata
Santa Cruz,65,,,"('47.288333° S', '71.530278° O')",Lago Ghío
Chubut,58,287.0,149.0,"('42.691111° S', '71.8625° O')",Lago Menéndez
Neuquén,58,165.0,64.0,"('38.921667° S', '71.126389° O')",Lago Aluminé
Neuquén,53,277.0,166.0,"('40.1625° S', '71.436389° O')",Lago Lácar
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,,43.0,"('54.411944° S', '67.715278° O')",Lago Yehuin
Santa Cruz,47,,,"('48.416944° S', '71.550833° O')",Lago Quiroga
Chubut,47,180.0,111.0,"('42.150833° S', '71.649722° O')",Lago Puelo
Santa Cruz,42,,,"('47.978889° S', '72.353056° O')",Lago Nansen
Santa Cruz,42,,,"('47.843889° S', '72.142778° O')",Lago Belgrano
Chubut,42,168.0,101.0,"('42.828333° S', '71.675278° O')",Lago Futalaufquen
Santa Cruz,41,,31.0,"('47.494444° S', '71.831944° O')",Lago Posadas
Neuquén,40,,,"('40.675833° S', '71.711111° O')",Lago Espejo
Río Negro,39,218.0,111.0,"('41.346111° S', '71.547778° O')",Lago Mascardi
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,,,"('54.395° S', '67.593333° O')",Lago Chepelmut
Santa Cruz,37,,,"('47.5° S', '71.613333° O')",Lago Salitroso o Sucio
Neuquén,37,,,"('40.036111° S', '71.536389° O')",Lago Lolog
Santa Cruz,30,,,"('49.228333° S', '72.017222° O')",Lago Tar
Neuquén,29,,69.0,"('39.525833° S', '71.447778° O')",Lago Tromen
Chubut,28,,,"('45.887778° S', '71.223611° O')",Lago Blanco
Neuquén,26,,,"('39.411389° S', '71.314444° O')",Lago Quillén
Santa Cruz,23,,,"('47.8625° S', '71.470278° O')",Lago Asador o Guitarra
Chubut,23,147.0,104.0,"('42.610833° S', '71.666389° O')",Lago Rivadavia
Neuquén,21,,,"('38.904444° S', '71.273889° O')",Lago Moquehue
Neuquén,20,,,"('40.702222° S', '71.659722° O')",Lago Correntoso
Chubut,20,,,"('45.594444° S', '68.547778° O')",Lago Río Chico
Santa Cruz,20,,,"('48.499167° S', '71.584722° O')",Lago Quiroga Chico
Chubut,17,148.0,92.0,"('42.1875° S', '71.506667° O')",Lago Epuyén
Río Negro,17,111.0,80.0,"('41.207778° S', '71.420278° O')",Lago Gutiérrez
Chubut,17,108.0,49.0,"('42.458611° S', '71.669167° O')",Lago Cholila
Neuquén,16,,66.0,"('39.724167° S', '71.583889° O')",Lago Paimún
Santa Cruz,16,,,"('47.845833° S', '72.270278° O')",Lago Azara
Santa Cruz,14,,,"('47.955556° S', '72.2025° O')",Lago Burmeister
Santa Cruz,14,,,"('50.108333° S', '73.349722° O')",Lago Onelli
Neuquén,14,,,"('40.333333° S', '71.319444° O')",Lago Meliquina
Río Negro,12,,,"('41.066111° S', '71.541111° O')",Lago Perito Moreno
Neuquén,12,,,"('39.84° S', '71.5075° O')",Lago Currhué
Neuquén,11,,,"('40.485° S', '71.475833° O')",Lago Falkner
Chubut,10,,,"('44.241944° S', '71.502222° O')",Lago Pico Nº 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,,,"('54.688611° S', '65.806389° O')",Lago Río Bueno
Chubut,10,57.0,25.0,"('43.26° S', '71.346667° O')",Lago Rosario
Santa Cruz,843,,,"('46.435278° S', '71.713611° O')",Lago Buenos Aires
Santa Cruz,537,,,"('48.896111° S', '72.697778° O')",Lago San Martín
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",533,,81.0,"('54.564722° S', '67.889722° O')",Lago Fagnano
Santa Cruz,125,,,"('47.356667° S', '71.930833° O')",Lago Pueyrredón
Chubut,96,,,"('43.931111° S', '71.534722° O')",Lago General Vintter
