Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Adventure, Science Fiction",en,2021-12-15,8.3,forcing;he;become,Spider-Man: No Way Home
"Crime, Mystery, Thriller",en,2022-03-01,8.1,second;Riddler.;serial,The Batman
Thriller,en,2022-02-25,6.3,addict;a;the,No Exit
"Animation, Comedy, Family, Fantasy",en,2021-11-24,7.7,a;the;unique,Encanto
"Action, Adventure, Thriller, War",en,2021-12-22,7.0,time;history's;gather,The King's Man
"Action, Crime, Thriller",en,2022-01-07,6.6,kidnap;the;worth,The Commando
"Horror, Mystery, Thriller",en,2022-01-12,6.8,the;of;targeting,Scream
Thriller,en,2022-02-10,6.3,Seeking;she;but,Kimi
"Action, Crime, Fantasy",en,2022-02-17,5.3,threat;superpowered;Kai,Fistful of Vengeance
Science Fiction,en,2021-11-03,7.2,"who;enemy,;most",Eternals
"Action, Crime, Thriller",en,2022-02-18,5.9,Breslin;joins;has,Pursuit
"Animation, Action, Fantasy, Adventure",ja,2021-08-06,7.3,place;to;the,My Hero Academia: World Heroes' Mission
"Action, Thriller, Crime",fr,2022-02-25,5.9,"accident,;corrupt;an",Restless
"Crime, Drama, Thriller",en,2021-12-02,7.1,a;well-chosen;female,Nightmare Alley
"Animation, Comedy, Adventure, Family",en,2022-01-28,7.1,brothers;off;The,The Ice Age Adventures of Buck Wild
"Animation, Family, Fantasy, Comedy, Adventure",en,2022-02-25,7.0,a;they;drive,Hotel Transylvania: Transformania
Horror,en,2022-02-18,5.1,this;an;life,Texas Chainsaw Massacre
Thriller,en,2022-01-28,4.6,"elements,;romantic;a",The Requin
"Action, Comedy, Crime",hi,2022-02-04,6.0,Savi;break;curious,Looop Lapeta
"Action, Comedy, Crime, Thriller",en,2021-11-04,6.8,global;and;most,Red Notice
"Animation, Comedy, Family, Music",en,2021-12-01,8.2,his;in;the,Sing 2
Horror,en,2022-01-03,5.4,claim;victims.;a,The Jack in the Box: Awakening
"Science Fiction, Action, Adventure",en,2021-09-30,7.1,the;must;body,Venom: Let There Be Carnage
"Science Fiction, Action, Adventure",en,2021-12-16,6.8,he;unexpected;Neo's,The Matrix Resurrections
"Horror, Action, Science Fiction",en,2021-11-24,6.1,evil;exodus;the,Resident Evil: Welcome to Raccoon City
"Action, Thriller",en,2021-10-19,6.3,is;a;are,Last Man Down
"Action, Thriller, Crime, Drama",en,2022-01-07,5.4,of;gang;hostage.,American Siege
"Action, Adventure",en,2022-02-10,7.1,greatest;clues;Sullivan,Uncharted
"Animation, Action, Adventure, Fantasy",ja,2020-10-16,8.4,who;scared;defeat,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
"Fantasy, Comedy, Adventure",en,2021-11-11,7.7,and;Ghostbusters;her,Ghostbusters: Afterlife
"Action, Thriller",en,2022-01-05,6.1,from;chaos.;together,The 355
"Action, Adventure, Fantasy",en,2021-09-01,7.7,he;he;drawn,Shang-Chi and the Legend of the Ten Rings
"Romance, Comedy, Music",en,2022-02-09,6.9,are;and;before,Marry Me
Horror,en,2022-01-21,5.8,specialist;mysterious;truth,The Hunting
"Drama, Romance, Crime",en,2021-12-08,7.4,tensions;but;fall,West Side Story
"Romance, Drama",es,2022-02-04,7.8,feelings;objections.;Raquel's,Through My Window
"Animation, Fantasy",ja,2021-07-02,8.0,With;was;of,The Seven Deadly Sins: Cursed by Light
